PINK FLOYD NEW DROPOUT 0.4
160 texts collected.
Training new model w/ 2-layer, 128-cell LSTMs
Training on 94,446 character sequences.
Epoch, train_loss, val_loss
1, 3.1315, 3.1420
2, 2.6487, 2.2251
3, 2.0565, 1.6155
4, 1.8763, 1.7133
5, 1.7572, 1.6897
6, 1.6743, 1.6161
7, 1.6051, 1.7125
8, 1.5481, 1.6055
9, 1.4926, 1.4955
10, 1.4437, 1.5767
11, 1.4011, 1.4816
12, 1.3602, 1.4771
13, 1.3231, 1.4703
14, 1.2868, 1.3643
15, 1.2537, 1.4935
16, 1.2220, 1.5218
17, 1.1896, 1.6584
18, 1.1631, 1.6380
19, 1.1359, 1.5067
20, 1.1121, 1.6942
21, 1.0846, 1.4644
22, 1.0619, 1.2981
23, 1.0401, 1.6317
24, 1.0220, 1.5855
25, 1.0040, 1.5960
26, 0.9845, 1.5439
27, 0.9661, 1.6934
28, 0.9540, 1.7521
29, 0.9414, 1.4554
30, 0.9332, 1.5629
