Pink Floyd Pre-trained 100 epochs
160 texts collected.
Training on 94,520 character sequences.
Epoch, train_loss, val_loss
1, 1.3955, 1.4043
2, 1.2653, 1.2122
3, 1.2135, 1.1636
4, 1.1705, 1.1819
5, 1.1400, 1.4600
6, 1.1066, 1.2259
7, 1.0838, 1.3312
8, 1.0549, 1.3549
9, 1.0320, 1.2303
10, 1.0088, 1.2533
11, 0.9918, 1.4016
12, 0.9671, 1.2717
13, 0.9510, 1.3685
14, 0.9370, 1.3793
15, 0.9223, 1.4039
16, 0.9038, 1.4910
17, 0.8879, 1.3245
18, 0.8746, 1.4216
19, 0.8558, 1.4462
20, 0.8414, 1.6445
21, 0.8306, 1.5037
22, 0.8159, 1.4815
23, 0.8100, 1.4822
24, 0.7884, 1.3518
25, 0.7794, 1.5457
26, 0.7729, 1.2926
27, 0.7542, 1.8011
28, 0.7399, 1.3813
29, 0.7337, 1.3453
30, 0.7259, 1.6638
31, 0.7005, 1.6287
32, 0.6970, 1.6266
33, 0.6862, 1.5788
34, 0.6813, 1.8371
35, 0.6654, 1.4101
36, 0.6575, 1.4230
37, 0.6481, 1.6133
38, 0.6430, 1.5647
39, 0.6263, 1.6449
40, 0.6157, 1.4126
41, 0.6209, 1.6417
42, 0.5977, 1.6435
43, 0.5867, 1.6039
44, 0.5783, 1.4133
45, 0.5692, 1.5271
46, 0.5643, 1.6967
47, 0.5470, 1.4263
48, 0.5396, 1.3725
49, 0.5329, 1.6337
50, 0.5236, 1.9567
51, 0.5180, 1.9410
52, 0.5061, 1.9129
53, 0.4954, 1.6927
54, 0.4892, 1.5503
55, 0.4755, 1.7483
56, 0.4691, 2.0635
57, 0.4623, 1.9908
58, 0.4473, 1.9618
59, 0.4385, 1.9554
60, 0.4318, 1.9507
61, 0.4231, 2.1364
62, 0.4147, 1.7702
63, 0.4072, 2.0357
64, 0.3955, 1.8234
65, 0.3880, 2.0212
66, 0.3777, 1.7722
67, 0.3704, 2.1876
68, 0.3635, 1.5604
69, 0.3538, 1.7119
70, 0.3450, 1.9438
71, 0.3382, 2.3655
72, 0.3288, 2.2921
73, 0.3217, 1.9056
74, 0.3140, 1.6780
75, 0.3026, 2.4745
76, 0.2988, 1.8487
77, 0.2951, 2.0510
78, 0.2849, 2.2930
79, 0.2734, 2.1130
80, 0.2636, 2.0015
81, 0.2612, 2.1578
82, 0.2534, 2.2416
83, 0.2477, 2.4079
84, 0.2396, 2.1345
85, 0.2315, 2.2126
86, 0.2331, 2.2580
87, 0.2247, 2.0132
88, 0.2183, 2.5452
89, 0.2150, 2.1896
90, 0.2098, 2.4612
91, 0.2013, 2.0531
92, 0.1997, 1.9528
93, 0.1984, 2.0366
94, 0.1932, 2.2425
95, 0.1897, 2.3826
96, 0.1861, 2.3400
97, 0.1814, 2.4742
98, 0.1788, 2.0210
99, 0.1764, 2.1301
100, 0.1747, 1.7780
